Date,Mean temp ,Rain (mm),Snow (cm),Ridership,Employment (%),Gas Prices ($)
2020-01,-8.56,0,0.13," 8,531,126 ",6.90%,101.60
2020-02,-3.303448276,0.007142857,0.767857143," 8,913,808 ",7.10%,99.00
2020-03,-4.19,0,0.929032258," 5,470,550 ",7.63%,79.20
2020-04,2.646666667,0.24,0.746666667," 1,277,830 ",8.38%,66.20
2020-05,9.751612903,3.567741935,0," 1,341,700 ",9.32%,87.20
2020-06,14.275,5.726666667,0," 1,749,400 ",10.25%,95.10
2020-07,17.0862069,2.629032258,0," 3,172,800 ",10.91%,97.40
2020-08,18.2,0.483870968,0," 3,566,300 ",11.34%,97.50
2020-09,13.2,0.683333333,0," 4,935,500 ",11.51%,104.90
2020-10,3.109677419,0.106451613,0.9," 4,670,400 ",11.53%,104.50
2020-11,-0.196666667,0.117391304,0.791304348," 4,311,170 ",11.46%,103.70
2020-12,-2.409677419,0,1.72173913," 3,007,400 ",11.36%,101.90
2021-01,-4.28709677,0.006451613,0.248387097,"1,989,500",10.40%,102.8
2021-02,-11.184,0,1.207142857,"1,914,000",10.55%,111.3
2021-03,2.621428571,0,0.351612903,"2,292,700",10.63%,117.3
2021-04,4.855172414,0.033333333,0.33,"2,046,000",10.50%,123.6
2021-05,9.323333333,0.913333333,0.26,"1,988,000",10.22%,127.3
2021-06,17.12222222,1.044827586,0,"2,480,000",10.03%,130.3
2021-07,19.83870968,1.996774194,0,"2,694,600",9.94%,135.6
2021-08,17.4137931,2.533333333,0,"2,759,100",9.90%,135.2
2021-09,13.41724138,0.54,0,"3,467,100",9.78%,133.1
2021-10,5.851612903,0,0.135483871,"3,312,000",9.59%,140.8
2021-11,1.91,0.016666667,0.126666667,"3,413,300",9.41%,141.9
2021-12,-12.3233333,0.009677419,0.822580645,"2,991,400",9.24%,139.5
2022-01,-5.219354839,0.138709677,0.119354839,"2,797,700",7.70%,138.9
2022-02,-5.529166667,0,1.165384615,"2,883,600",7.60%,145.4
2022-03,1.969230769,0,0.366666667,"4,199,500",7.60%,164.7
2022-04,2.113333333,0,1.486206897,"4,004,300",7.48%,155.5
2022-05,10.05517241,0.376666667,0.032258065,"4,448,400",7.26%,167.4
2022-06,14.25357143,4.596666667,0,"4,482,600",6.97%,189.5
2022-07,18.50740741,2.136666667,0,"4,756,900",6.70%,183.1
2022-08,20.00645161,0.970967742,0,"4,513,200",6.54%,153
2022-09,15.14333333,0.36,0,"6,015,000",6.44%,144.2
2022-10,9.135483871,0.180645161,0.780645161,"6,291,400",6.37%,167.1
2022-11,-5.653333333,0,0.98,"6,291,900",6.30%,149.3
2022-12,-11.74516129,0.009677419,0.841935484,"6,225,400",6.25%,124.2
2023-01,-3.685714286,0,0.772413793,"7,503,700",6.40%,128.6
2023-02,-5.042857143,0,1.146428571,"8,367,100",6.55%,125.5
2023-03,-6.503225806,0,0.583870968,"8,573,700",6.70%,132.2
2023-04,4.716666667,0.08,0.123333333,"8,756,200",6.65%,145.1
2023-05,14.86451613,0.980645161,0,"6,952,400",6.54%,146
2023-06,16.27,2.336666667,0,"7,007,800",6.43%,144.6
2023-07,18.2483871,1.383870968,0,"7,237,900",6.39%,141.3
2023-08,18.39032258,1.635483871,0,"7,501,500",6.35%,146.8
2023-09,13.43666667,0.626666667,0,"7,005,300",6.30%,143.1
2023-10,5.177419355,0.748387097,0.516129032,"7,472,700",6.21%,137.6
2023-11,1.889655172,0.023333333,0.173333333,"6,631,200",6.13%,130.1
2023-12,0.509677419,0.067741935,0.677419355,"6,956,200",6.05%,120
2024-01,-9.225806452,0.064516129,0.906451613,"8,863,600",5.60%,125.6
2024-02,-3.846428571,0.027586207,0.731034483,"8,783,400",5.90%,134.5
2024-03,-4.151612903,0,2.206451613,"8,863,600",6.27%,147
2024-04,3.551724138,0.32,1.116666667,"7,859,800",6.68%,159.6
2024-05,9.638709677,1.706451613,0.283870968," 8,677,500 ",6.96%,156
2024-06,13.55666667,2.776666667,0," 7,901,100 ",7.17%,153.6
2024-07,20.4862069,1.483870968,0," 7,806,200 ",7.19%,158.8
2024-08,17.89310345,1.993103448,0," 7,740,400 ",7.21%,155.4
2024-09,14.56428571,2.466666667,0," 9,364,500 ",7.21%,142.9
2024-10,8.42,0.04516129,0.019354839," 10,032,900 ",7.24%,146.5
2024-11,-3.54137931,0,1.333333333," 8,548,900 ",7.25%,142.4
2024-12,-2.29,0.006451613,0.193548387," 7,674,900 ",7.27%,140.8
